ID,PwsID,WaterSystemName,WaterSystemCounty,PSCODE,DISTRICT,SchoolName,SchoolAddress,SchoolCounty,SchoolSiteName,SAMPLE_DATE,RESULT,RPT_UNIT,Action_Level_Exceedance?,ALE_Follow_Up_Action,ALE_Follow_Up_Status
1350,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BIC-F,Berkeley Unified,Cragmont Elementary,830 Regal Road Berkeley CA 94708-1308,Alameda,Left tap on three basin kitchen prep sink 1st floor,2018-06-07,5.0,UG/L,No,,
12840,CA3610064,EAST VALLEY WATER DISTRICT,SAN BERNARDINO,3610064-AAE-A,Redlands Unified,Cram Elementary,29700 Water Street Highland CA 92346-5923,San Bernardino,#1 Cafeteria Kitchen Sink (Right Dish),2018-04-12,5.0,UG/L,No,,
14066,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-ADI-A,San Diego Unified,Crawford High,4191 Colts Way San Diego CA 92115-6023,San Diego,Kitchen south wall southwest corner 2 compartment sink faucet,2017-04-12,5.0,UG/L,No,,
15963,CA3810011,SFPUC CITY DISTRIBUTION DIVISION,SAN FRANCISCO,3810011-BAB-A,San Francisco Unified,Creative Arts Charter,1601 Turk Street San Francisco CA 94115-4527,San Francisco,Lower drinking fountain between Room 104 and elevator on 1st floor of Main Building,2017-12-13,5.0,UG/L,No,,
10401,CA3410001,SACRAMENTO SUBURBAN WATER DISTRICT,SACRAMENTO,3410001-ABJ-E,Twin Rivers Unified,Creative Connections Arts Academy,7201 Arutas Drive North Highlands CA 95660-2809,Sacramento,Inside kitchen north wall (LHS),2017-05-12,58.0,UG/L,No,,
10337,CA3410001,SACRAMENTO SUBURBAN WATER DISTRICT,SACRAMENTO,3410001-AAG-A,Twin Rivers Unified,Creative Connections Arts Academy-Walerga,6444 Walerga Rd              North Highlands CA 95660,Sacramento,Fountain (Lower) - Outside hallway east side of cafeteria,2017-04-28,5.0,UG/L,No,,
14828,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-BJG-A,San Diego Unified,Creative Performing and Media Arts,5050 Conrad Avenue San Diego CA 92117-1401,San Diego,100/200 BLDG East end of Bldgs breezeway East Facing two single bubbler fountains lower right fountain,2017-05-20,5.0,UG/L,No,,
15461,CA3710037,PADRE DAM MWD,SAN DIEGO,3710037-ABI-A,Alpine Union Elementary,Creekside Early Learning Center,8818 Harbison Canyon Road Alpine CA 91901-2616,San Diego,Health office sink,2017-09-13,5.0,UG/L,No,,
1970,CA0110005,EAST BAY MUD,ALAMEDA,0110005-CFH-A,San Ramon Valley Unified,Creekside Elementary,6011 Massara Street Danville CA 94506-5004,Contra Costa,Tap	Tap in teachers lounge on left,2018-01-09,5.0,UG/L,No,,
9214,CA3010092,IRVINE RANCH WATER DISTRICT,ORANGE,3010092-ADE-A,Irvine Unified,Creekside High,3387 Barranca Pkwy Irvine CA 92606-8272,Orange,Ext Fount 1,2017-09-28,5.0,UG/L,No,,
19192,CA4810005,SUISUN-SOLANO WATER AUTHORITY,SOLANO,4810005-AAB-A,Fairfield-Suisun Unified,Crescent Elementary,1001 Anderson Drive Suisun CA 94585,Solano,Faucet in Room 501,2018-03-10,5.0,UG/L,No,,
953,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BBA-A,West Contra Costa Unified,Crespi Junior High,1121 Allview Avenue El Sobrante CA 94803-1099,Contra Costa,Fountain	Taller by rm 420,2017-11-17,5.0,UG/L,No,,
15424,CA3710037,PADRE DAM MWD,SAN DIEGO,3710037-ABB-A,Cajon Valley Union,Crest Elementary,2000 Suncrest Boulevard El Cajon CA 92021-4249,San Diego,Admin bldg health office sink,2017-05-04,5.0,UG/L,No,,
9382,CA3110008,CITY OF ROSEVILLE,PLACER,3110008-ABA-A,Roseville City Elementary,Crestmont Elementary,1501 Sheridan Avenue Roseville CA 95661-5724,Placer,1,2017-10-05,5.0,UG/L,No,,
11925,CA3610004,WEST VALLEY WATER DISTRICT,SAN BERNARDINO,3610004-AAE-A,Colton Joint Unified,Crestmore Elementary,18870 Jurupa Avenue Bloomington CA 92316-3133,San Bernardino,F1,2017-08-29,5.0,UG/L,No,,
17074,CA4210700,AMERICAN WATER O&M LLC - VAFB,SANTA BARBARA,4210700-AAB-A,Lompoc Unified,Crestview Elementary,Utah Avenue Vandenberg Air Force Base CA 93437,Santa Barbara,4210700-CVE-A,2018-06-05,5.0,UG/L,No,,
17333,CA4310007,CITY OF MOUNTAIN VIEW,SANTA CLARA,4310007-ABA-A,Mountain View Whisman,Crittenden Middle,1701 Rock Street Mountain View CA 94043-3133,Santa Clara,Kitchen Sink,2017-11-21,5.0,UG/L,No,,
1229,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BGC-A,Oakland Unified,Crocker Highlands Elementary,525 Midcrest Road Oakland CA 94610-1813,Alameda,Fountain	First floor across from multi-purpose room,2017-12-06,5.0,UG/L,No,,
16804,CA4110016,TOWN OF HILLSBOROUGH,SAN MATEO,4110016-AAB-A,Hillsborough City Elementary,Crocker Middle,2600 Ralston Avenue Hillsborough CA 94010-6544,San Mateo,1st floor Room 2- outside drinking fountain,2017-02-16,5.0,UG/L,No,,
11421,CA3410020,CITY OF SACRAMENTO MAIN,SACRAMENTO,3410020-AJF-A,Sacramento City Unified,Crocker/Riverside Elementary,2970 Riverside Boulevard Sacramento CA 95818-3763,Sacramento,Exterior drinking fountain with LEFT railing on south side of Bathrooms near Room 15 (#1 on map),2017-09-29,5.0,UG/L,No,,
6855,CA2010010,MADERA VALLEY WATER COMPANY,MADERA,2010010-AAC-A,,Crossroads Christian School,17755 Road 26 Madera CA 93638,Madera,Site #2 Main Office Fountain,2018-01-23,5.0,UG/L,No,,
19534,CA5010018,RIVERBANK CITY OF,STANISLAUS,5010018-AAC-A,Sylvan Union Elementary,Crossroads Elementary,5800 Saxon Way Riverbank CA 95367-9559,Stanislaus,Library Drinking Fountain,2018-01-04,5.0,UG/L,No,,
14683,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-BGG-A,San Diego Unified,Crown Point Elementary,4033 Ingraham Street San Diego CA 92109-5946,San Diego,Kitchen Inside kitchen at food prep sink below window faucet at 2 compartment sink,2017-05-11,5.0,UG/L,No,,
10226,CA3310038,RANCHO CALIFORNIA WATER DISTRICT,RIVERSIDE,3310038-ABD-A,Temecula Valley Unified,Crowne Hill Elementary,33535 Old Kent Road Temecula CA 92592-7129,Riverside,Drinking fountain in media center,2018-05-03,5.0,UG/L,No,,
19218,CA4810005,SUISUN-SOLANO WATER AUTHORITY,SOLANO,4810005-AAF-A,Fairfield-Suisun Unified,Crystal Middle,400 Whispering Bay Lane Suisun City CA 94585-2862,Solano,Faucet in Kitchen,2018-03-10,5.0,UG/L,No,,
14448,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-BBJ-A,San Diego Unified,Cubberley Elementary,3201 Marathon Drive San Diego CA 92123-2638,San Diego,Kindergarten bldg Inside K-1 in Center Island Sink-mounted bubbler,2017-05-06,5.0,UG/L,No,,
12048,CA3610018,CUCAMONGA VALLEY WATER DISTRICT,SAN BERNARDINO,3610018-AAE-A,Cucamonga Elementary,Cucamonga Elementary,8677 Archibald Avenue Rancho Cucamonga CA 91730-4634,San Bernardino,Kitchen (3) compartment sink,2017-05-05,5.0,UG/L,No,,
9091,CA3010092,IRVINE RANCH WATER DISTRICT,ORANGE,3010092-AAJ-A,Irvine Unified,Culverdale Elementary,2 Paseo Westpark Irvine CA 92614-5311,Orange,Playground,2017-10-19,5.0,UG/L,No,,
18507,CA4310014,CITY OF SUNNYVALE,SANTA CLARA,4310014-AAE-A,Sunnyvale,Cumberland Elementary,824 Cumberland Avenue Sunnyvale CA 94087-1221,Santa Clara,Health Office,2017-04-05,5.0,UG/L,No,,
19563,CA5010019,TURLOCK CITY OF,STANISLAUS,5010019-AAC-A,Turlock Unified,Cunningham Elementary,324 West Linwood Avenue Turlock CA 95380-6220,Stanislaus,G9 - drinking fountain,2018-08-28,5.0,UG/L,No,,
17096,CA4310001,CWSC LOS ALTOS SUBURBAN,SANTA CLARA,4310001-AAD-A,Fremont Union High,Cupertino High,10100 Finch Avenue Cupertino CA 95014-3411,Santa Clara,S1 sink faucet front of rm 910,2017-12-13,5.0,UG/L,No,,
17145,CA4310001,CWSC LOS ALTOS SUBURBAN,SANTA CLARA,4310001-ABE-A,Cupertino Union,Cupertino Middle,1650 South Bernardo Avenue Sunnyvale CA 94087-5256,Santa Clara,S1 BF rm 27 end of bldg,2018-05-30,5.0,UG/L,No,,
14603,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-BFA-A,San Diego Unified,Curie Elementary,4080 Governor Drive San Diego CA 92122-2523,San Diego,Classroom Bldg Rooms 7-10 North Side of building in front of girls RR triple bubbler fountain center bubbler,2017-05-11,5.0,UG/L,No,,
4477,CA1510003,CWS - BAKERSFIELD,KERN,1510003-ACA-A,Bakersfield City,Curran Middle,1116 Lymric Way Bakersfield CA 93309-4157,Kern,S1 DF east side bldg A by rm 7,2017-11-08,5.0,UG/L,No,,
4183,CA1210009,HUMBOLDT CSD,HUMBOLDT,1210009-AAF-A,Cutten Elementary,Cutten Elementary,4182 Walnut Drive Eureka CA 95503-6223,Humboldt,Wing 1 - Drinking Fountain (Outside),2018-04-04,5.0,UG/L,No,,
12849,CA3610064,EAST VALLEY WATER DISTRICT,SAN BERNARDINO,3610064-AAH-A,San Bernardino City Unified,Cypress Elementary,26825 Cypress Street Highland CA 92346-3539,San Bernardino,Cafeteria Fill Sink N/Faucet,2018-05-31,5.0,UG/L,No,,
8313,CA3010022,GOLDEN STATE WC - WEST ORANGE,ORANGE,3010022-ABB-D,Anaheim Union High,Cypress High,9801 Valley View Street Cypress CA 90630-3994,Orange,Staff Lounge Fountain,2018-04-11,6.0,UG/L,No,,
9096,CA3010092,IRVINE RANCH WATER DISTRICT,ORANGE,3010092-ABA-A,Irvine Unified,Cypress Village Elementary,355 Rush Lily Irvine CA 92620-4112,Orange,Lunch,2017-09-26,5.0,UG/L,No,,
11747,CA3410031,CALAM - ANTELOPE,SACRAMENTO,3410031-AAC-E,Center Joint Unified,Cyril Spinelli Elementary,3401 Scotland Dr Antelope CA 95843-2226,Sacramento,DF MP,2018-01-18,78.0,UG/L,No,,
6460,CA1910191,NORWALK - CITY WATER DEPT,LOS ANGELES,1910191-AAC-B,Norwalk-La Mirada Unified,D D Johnston Elementary,13421 South Fairford Avenue Norwalk CA 90650-3630,Los Angeles,MPR / Cafeteria â€“ Hand Wash Faucet,2018-05-17,5.0,UG/L,No,,
19177,CA4810004,CITY OF RIO VISTA,SOLANO,4810004-AAB-A,River Delta Joint Unified,D H White School,500 Elm Way Rio Vista CA 94571-1304,Solano,Tapella F,2017-03-02,5.0,UG/L,No,,
8149,CA3010010,CITY OF FULLERTON,ORANGE,3010010-ABB-A,Fullerton Elementary,D Russell Parks Junior High,1710 Rosecrans Avenue Fullerton CA 92833-1912,Orange,Partition 6 PE Girls Drinking Fountain,2018-02-21,5.0,UG/L,No,,
10993,CA3410020,CITY OF SACRAMENTO MAIN,SACRAMENTO,3410020-AAG-A,Twin Rivers Unified,D W Babcock Elementary,2400 Cormorant Way Sacramento CA 95815-2715,Sacramento,Drinking fountain in front of cafeteria,2017-05-03,5.0,UG/L,No,,
20235,CA5710001,CITY OF DAVIS,YOLO,5710001-ABF-A,Davis Joint Unified,Da Vinci Charter Academy,1400 East Eighth St Davis CA 95616-2404,Yolo,#26,2017-10-20,5.0,UG/L,No,,
14096,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-AEE-A,San Diego Unified,Dailard Elementary,6425 Cibola Road San Diego CA 92120-2125,San Diego,BLDG 1 next to girls RR triple fixture right bubbler,2017-04-13,5.0,UG/L,No,,
7856,CA3010001,CITY OF ANAHEIM,ORANGE,3010001-AAI-A,Anaheim Union High,Dale Junior High,900 South Dale Street Anaheim CA 92804-4097,Orange,#1,2018-01-24,5.0,UG/L,No,,
5546,CA1910062,LA VERNE CITY WD,LOS ANGELES,1910062-AAB-A,,Damien High School,2280 Damien Avenue La Verne CA 91750,Los Angeles,600 Bldng - Administration   inside hallway,2017-04-26,5.0,UG/L,No,,
19202,CA4810005,SUISUN-SOLANO WATER AUTHORITY,SOLANO,4810005-AAC-E,Fairfield-Suisun Unified,Dan O Root Elementary,820 Harrier Drive Suisun City CA 94585-3064,Solano,Faucet in Room 7,2018-03-10,54.0,UG/L,No,,
14813,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-BJD-A,San Diego Unified,Dana,1775 Chatsworth Boulevard San Diego CA 92106-3709,San Diego,120s - Hallway C 1st Floor Wall mounted interior in the hall way between Boys RR & Classroom 121 facing Office 122 single bubbler fountain ,2017-05-20,5.0,UG/L,No,,
16483,CA4010026,NIPOMO COMM SERVICES DIST,SAN LUIS OBISPO,4010026-AAB-A,Lucia Mar Unified,Dana Elementary,920 West Tefft Street Nipomo CA 93444-9624,San Luis Obispo,Cafeteria Sink,2017-12-13,5.0,UG/L,No,,
6206,CA1910155,GSWC - SOUTHWEST,LOS ANGELES,1910155-ABF-A,Wiseburn Unified School District,Dana Middle School,5504 W 135th St  Hawthorne CA 90250,Los Angeles,Bldg 100-Bottle Filling Station,2018-05-03,5.0,UG/L,No,,
19467,CA5010010,MODESTO CITY OF,STANISLAUS,5010010-AAJ-A,Sylvan Union Elementary,Daniel J Savage Middle,1900 Maid Mariane Lane Modesto CA 95355-8744,Stanislaus,Outside of Room 80: Water Fountain,2018-04-14,5.0,UG/L,No,,
10254,CA3310038,RANCHO CALIFORNIA WATER DISTRICT,RIVERSIDE,3310038-ACA-A,Murrieta Valley Unified,Daniel N Buchanan Elementary,40121 Torrey Pines Road Murrieta CA 92563-6384,Riverside,Kitchen sink faucet,2018-05-10,5.0,UG/L,No,,
5857,CA1910124,PASADENA-CITY WATER DEPT,LOS ANGELES,1910124-AAJ-A,Pasadena Unified,Daniel Webster,2101 East Washington Boulevard Pasadena CA 91104-1899,Los Angeles,DWES-1-A,2017-07-07,5.0,UG/L,No,,
16691,CA4110013,CITY OF DALY CITY,SAN MATEO,4110013-AAG-A,Jefferson Elementary,Daniel Webster Elementary,425 El Dorado Drive Daly City CA 94015-2126,San Mateo,Room #31 Drinking fountain,2017-05-16,5.0,UG/L,No,,
5698,CA1910104,CALIFORNIA WATER SERVICE CO - PALOS VER,LOS ANGELES,1910104-AAC-A,Palos Verdes Peninsula Unified,Dapplegray Elementary,3011 Palos Verdes Drive North Rolling Hills Estates CA 90274-7303,Los Angeles,S1 DF mpr cafeteria,2018-05-22,5.0,UG/L,No,,
14256,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-AHG-A,San Diego Unified,Darnall Charter,6020 Hughes Street San Diego CA 92115-6520,San Diego,300 Building Lunch Area outside of Mens Faculty RR two single bubble fountains upper right fountain,2017-05-03,5.0,UG/L,No,,
18181,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BFJ-A,Union Elementary,Dartmouth Middle,5575 Dartmouth Drive San Jose CA 95118-3332,Santa Clara,Sample Location 1,2018-02-02,5.0,UG/L,No,,
12461,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-ACJ-H,Fontana Unified,Date Elementary,9011 Oleander Avenue Fontana CA 92335-4532,San Bernardino,Library Restroom Fountain/Sink Confermation,2018-06-08,5.0,UG/L,No,,
18056,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BDA-A,Los Gatos Union Elementary,Daves Avenue Elementary,17770 Daves Avenue Los Gatos CA 95030-3218,Santa Clara,Sample Location 1,2017-12-13,5.0,UG/L,No,,
9998,CA3310012,ELSINORE VALLEY MWD,RIVERSIDE,3310012-AAH-A,Lake Elsinore Unified,David A Brown Middle,21861 Grand Avenue Wildomar CA 92595-9632,Riverside,By Field House Area,2018-04-25,5.0,UG/L,No,,
11153,CA3410020,CITY OF SACRAMENTO MAIN,SACRAMENTO,3410020-AEB-A,Sacramento City Unified,David Lubin Elementary,3535 M Street Sacramento CA 95816-5403,Sacramento,Exterior drinking fountain outside girls restroom near room 1-A (#1 on map),2017-09-27,5.0,UG/L,No,,
10895,CA3410017,CALAM - PARKWAY,SACRAMENTO,3410017-AAC-A,Elk Grove Unified,David Reese Elementary,7600 Lindale Drive Sacramento CA 95828-3916,Sacramento,DF Outside MP,2017-10-31,5.0,UG/L,No,,
17372,CA4310009,CITY OF PALO ALTO,SANTA CLARA,4310009-AAH-A,Palo Alto Unified,David Starr Jordan Middle,750 North California Avenue Palo Alto CA 94303-3629,Santa Clara,Kitchen Sink Rm LE5 (AAH_A),2018-09-05,5.0,UG/L,No,,
12551,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-AEH-A,Etiwanda Elementary,David W Long Elementary,5383 Bridlepath Drive Fontana CA 92236-0690,San Bernardino,North Wing Room 19 Fountain/Sink,2018-05-17,5.0,UG/L,No,,
5359,CA1910026,COMPTON-CITY WATER DEPT,LOS ANGELES,1910026-AAE-A,Compton Unified,Davis Middle,621 West Poplar Street Compton CA 90220-1927,Los Angeles,drinking fountain,2018-04-27,5.0,UG/L,No,,
20169,CA5710001,CITY OF DAVIS,YOLO,5710001-AAD-A,Davis Joint Unified,Davis School for Independent Study,526 B Street Davis CA 95616-3811,Yolo,North Wing Inside Kitchen,2017-10-11,5.0,UG/L,No,,
20174,CA5710001,CITY OF DAVIS,YOLO,5710001-AAE-A,Davis Joint Unified,Davis Senior High,315 West 14th St Davis CA 95616-1914,Yolo,Outside O Building (Bottle Filler),2017-10-11,5.0,UG/L,No,,
10925,CA3410017,CALAM - PARKWAY,SACRAMENTO,3410017-AAI-A,Elk Grove Unified,Daylor (William) High (Continuation),6131 Orange Avenue Sacramento CA 95823-3226,Sacramento,DF Inside Office,2017-11-02,5.0,UG/L,No,,
13451,CA3710010,HELIX WATER DISTRICT,SAN DIEGO,3710010-AEH-A,,Dayspring Christian Learning Center,1150 Greenfield Drive El Cajon CA 92021,San Diego,OS DF btwn Rms 1 & 2,2017-05-11,5.0,UG/L,No,,
466,CA0110005,EAST BAY MUD,ALAMEDA,0110005-ACC-A,San Lorenzo Unified,Dayton Elementary,1500 Dayton Avenue San Leandro CA 94579-1528,Alameda,DES DF 1	DF	Inside DF,2017-09-27,5.0,UG/L,No,,
1084,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BDF-A,West Contra Costa Unified,De Anza High,5000 Valley View Road Richmond CA 94803-2599,Contra Costa,Fountain	Upper by gym,2017-11-29,5.0,UG/L,No,,
4297,CA1310004,EL CENTRO CITY OF,IMPERIAL,1310004-AAB-A,El Centro Elementary,De Anza Magnet,1530 South Waterman Avenue El Centro CA 92243-4142,Imperial,Office Lounge,2017-08-22,5.0,UG/L,No,,
16359,CA3810011,SFPUC CITY DISTRIBUTION DIVISION,SAN FRANCISCO,3810011-BIG-A,,De Marillac Academy,175 Golden Gate Avenue San Francisco CA 94102,San Francisco,Drinking fountain at sink inside Room 202 on 2nd floor of Main Building,2018-04-19,5.0,UG/L,No,,
14578,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-BEF-A,San Diego Unified,De Portola Middle,11010 Clairemont Mesa Boulevard San Diego CA 92124-1507,San Diego,Basketball court area east side of campus Outside of courts next to bleachers triple bubbler fountain right bubbler,2017-05-06,5.0,UG/L,No,,
3926,CA1010007,CITY OF FRESNO,FRESNO,1010007-AGF-A,Fresno Unified,Deborah A Williams Elementary,525 West Saginaw Fresno CA 93705-2049,Fresno,FountÂ®Spigot Cafeteria Outside North		,2018-07-10,5.0,UG/L,No,,
93,CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,0110001-ACA-A,New Haven Unified,Decoto School for Independent Study,600 G Street Union City CA 94587-2400,Alameda,Right drinking fountain by girls restroom,2018-05-01,5.0,UG/L,No,,
12053,CA3610018,CUCAMONGA VALLEY WATER DISTRICT,SAN BERNARDINO,3610018-AAF-A,Alta Loma Elementary,Deer Canyon Elementary,10225 Hamilton Alta Loma CA 91701-0370,San Bernardino,Exterior between rooms 16 and 17,2017-04-19,5.0,UG/L,No,,
7726,CA2910004,NEVADA ID - E GEORGE BANNER MOUNTAIN,NEVADA,2910004-AAD-A,Nevada City Elementary,Deer Creek Elementary,805 Lindley Avenue Nevada City CA 95959-2911,Nevada,Drinking Fountain outside of Restroom by Room 4 of Building A,2018-04-12,5.0,UG/L,No,,
7041,CA2110002,MARIN MUNICIPAL WATER DISTRICT,MARIN,2110002-AEB-C,Ross Valley Elementary,Deer Park Elementary School,199 Porteous Ave Fairfax CA 94930,Marin,Room 3 outside drinking fountain ,2018-05-22,6.0,UG/L,No,,
9105,CA3010092,IRVINE RANCH WATER DISTRICT,ORANGE,3010092-ABB-E,Irvine Unified,Deerfield Elementary,2 Deerfield Avenue Irvine CA 92604-3048,Orange,Kitchen,2017-10-18,51.0,UG/L,No,,
1930,CA0110005,EAST BAY MUD,ALAMEDA,0110005-CEI-A,San Ramon Valley Unified,Del Amigo High (Continuation),189 Del Amigo Road Danville CA 94526-2399,Contra Costa,Tap	Tap in teachers lounge,2017-12-21,5.0,UG/L,No,,
10444,CA3410004,CARMICHAEL WATER DISTRICT,SACRAMENTO,3410004-AAB-D,San Juan Unified,Del Campo High,4925 Dewey Dr Fair Oaks CA 95628-4402,Sacramento,Gym 1,2017-10-13,5.0,UG/L,No,,
13213,CA3710006,ESCONDIDO CITY OF,SAN DIEGO,3710006-ABE-A,Escondido Union,Del Dios Academy of Arts and Sciences,1400 West Ninth Avenue Escondido CA 92025-2204,San Diego,Food Service Sink Faucet,2017-05-31,5.0,UG/L,No,,
3986,CA1010007,CITY OF FRESNO,FRESNO,1010007-AHG-D,Fresno Unified,Del Mar Elementary,4122 North Del Mar Avenue Fresno CA 93704-4410,Fresno, Staff Room 9 Sink-Cold		,2018-06-28,76.0,UG/L,No,,
14934,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-CBI-A,Del Mar Union Elementary,Del Mar Heights Elementary,13555 Boquita Drive Del Mar CA 92014-3453,San Diego,East playground Area In between Girls / Boys lower grade RRs two single bubbler fountains on pedistal lower left fountain when facing palm trees,2017-06-01,5.0,UG/L,No,,
17509,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-ABH-A,Campbell Union High,Del Mar High,1224 Del Mar Avenue San Jose CA 95128-3529,Santa Clara,To the left of boys locker room across from baseball field and PE numbers on blacktop Left fountain,2017-05-17,5.0,UG/L,No,,
14939,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-CBJ-A,Del Mar Union Elementary,Del Mar Hills Elementary,14085 Mango Drive Del Mar CA 92014-0640,San Diego,Kindergarten Area Exterior drinking fountain outside room 22 two single bubbler fountains upper right fountain ,2017-06-01,5.0,UG/L,No,,
9563,CA3110025,PLACER CWA - FOOTHILL,PLACER,3110025-ACD-A,Placer Union High,Del Oro High,3301 Taylor Road Loomis CA 95650-9502,Placer,Kitchen Sink,2018-01-30,5.0,UG/L,No,,
11031,CA3410020,CITY OF SACRAMENTO MAIN,SACRAMENTO,3410020-ABE-A,Twin Rivers Unified,Del Paso Heights Elementary,590 Morey Avenue Sacramento CA 95838-3332,Sacramento,Upper ext drinking fountain near room 32/student restrm,2017-05-03,5.0,UG/L,No,,
10541,CA3410007,DEL PASO MANOR COUNTY WATER DI,SACRAMENTO,3410007-AAC-A,San Juan Unified,Del Paso Manor Elementary,2700 Maryal Drive Sacramento CA 95821-6621,Sacramento,Drinking fountain near M P room,2017-12-20,5.0,UG/L,No,,
12651,CA3610052,VICTORVILLE WATER DISTRICT,SAN BERNARDINO,3610052-ACB-A,Victor Elementary,Del Rey Elementary,15332 Del Rey Drive Victorville CA 92395-7118,San Bernardino,Staff Lounge Faucet,2018-03-09,5.0,UG/L,No,,
7316,CA2710004,CAL AM WATER COMPANY - MONTEREY,MONTEREY,2710004-AAB-B,Monterey Peninsula Unified,Del Rey Woods Elementary,1281 Plumas Avenue Seaside CA 93955-6202,Monterey,Most frequently used drinking fountain- outside,2017-02-03,12.0,UG/L,No,,
13689,CA3710014,OCEANSIDE CITY OF,SAN DIEGO,3710014-ABJ-A,Oceanside Unified,Del Rio Elementary,5200 North River Road Oceanside CA 92057-3811,San Diego,3710014-DRES-1,2017-04-06,5.0,UG/L,No,,
8355,CA3010022,GOLDEN STATE WC - WEST ORANGE,ORANGE,3010022-ACB-A,,Del Sol School,5340 Myra Avenue Cypress CA 90630,Orange,Fountain Room 11,2018-08-28,5.0,UG/L,No,,
295,CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,0110003-AAC-A,Livermore Valley Joint Unified,Del Valle Continuation High,2253 Fifth Street Livermore CA 94550-4549,Alameda,S1 DF bldg 3,2018-05-30,5.0,UG/L,No,,
138,CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,0110001-ACJ-A,New Haven Unified,Delaine Eastin Elementary,34901 Eastin Drive Union City CA 94587-5577,Alameda,Left tap on sink located in the Kitchen Preparation Area,2018-05-04,5.0,UG/L,No,,
18579,CA4310014,CITY OF SUNNYVALE,SANTA CLARA,4310014-ACB-A,Cupertino Union ,Delor Montessori School,1510 Lewiston Dr Sunnyvale  CA 94087,Santa Clara,Delor Montessori Service Kitchen,2018-05-30,5.0,UG/L,No,,
3579,CA0710008,CITY OF PITTSBURG,CONTRA COSTA,0710008-ABG-A,Mt Diablo Unified,Delta View Elementary,2916 Rio Verde Pittsburg CA 94565-7641,Contra Costa,Kitchen Faucet Cold,2018-01-09,5.0,UG/L,No,,
8840,CA3010064,CITY OF WESTMINSTER,ORANGE,3010064-AAE-B,Westminster,Demille Elementary,15400 Van Buren Midway City CA 92655-1660,Orange,Room 14 outside fountain,2017-11-20,52.0,UG/L,No,,
19369,CA5010005,CITY OF MODESTO SALIDA,STANISLAUS,5010005-AAC-A,Salida Union Elementary,Dena Boer,4801 Gold Valley Road Salida CA 95368-9742,Stanislaus,Room 14 Bubbler,2018-02-22,5.0,UG/L,No,,
16003,CA3810011,SFPUC CITY DISTRIBUTION DIVISION,SAN FRANCISCO,3810011-BAJ-A,San Francisco Unified,Denman (James) Middle,241 Oneida Avenue San Francisco CA 94112-3228,San Francisco,Lower drinking fountain between both entrances to Room 314 across from Room 321 on 3rd floor of Main Building,2017-12-19,5.0,UG/L,No,,
13243,CA3710009,DESCANSO COMMUNITY SERVICES DISTRICT,SAN DIEGO,3710009-AAB-A,Mountain Empire Unified,Descanso Elementary,24842 Viejas Boulevard Descanso CA 91916-9757,San Diego,Outside Classroom #9 Drinking fountain,2017-09-26,5.0,UG/L,No,,
4302,CA1310004,EL CENTRO CITY OF,IMPERIAL,1310004-AAC-A,El Centro Elementary,Desert Garden Elementary,1900 South Sixth Street El Centro CA 92243-4463,Imperial,Classroom K sink,2017-08-23,5.0,UG/L,No,,
11867,CA3610003,APPLE VALLEY RANCHOS WC,SAN BERNARDINO,3610003-AAC-A,Apple Valley Unified,Desert Knolls Elementary,18213 Symeron Drive Apple Valley CA 92307-4537,San Bernardino,001-North east corner food prep sink in Cafeteria,2017-04-21,5.0,UG/L,No,,
4363,CA1310004,EL CENTRO CITY OF,IMPERIAL,1310004-ABE-A,Central Union High,Desert Oasis High (Continuation),1302 South Third St El Centro CA 92243-6604,Imperial,Building #1 Drinking Fountain,2018-08-22,5.0,UG/L,No,,
2151,CA0110005,EAST BAY MUD,ALAMEDA,0110005-CJB-A,Oakland Unified,Dewey Academy,1111 2nd Avenue Oakland CA 94606-2285,Alameda,Upper by entrance rr,2018-01-19,5.0,UG/L,No,,
