ID,PwsID,WaterSystemName,WaterSystemCounty,PSCODE,DISTRICT,SchoolName,SchoolAddress,SchoolCounty,SchoolSiteName,SAMPLE_DATE,RESULT,RPT_UNIT,Action_Level_Exceedance.,ALE_Follow_Up_Action,ALE_Follow_Up_Status
9105,CA3010092,IRVINE RANCH WATER DISTRICT,ORANGE,3010092-ABB-E,Irvine Unified,Deerfield Elementary,2 Deerfield Avenue Irvine CA 92604-3048,Orange,Kitchen,2017-10-18,51,UG/L,No,NA,NA
1934,CA0110005,EAST BAY MUD,ALAMEDA,0110005-CEI-E,San Ramon Valley Unified,Del Amigo High (Continuation),189 Del Amigo Road Danville CA 94526-2399,Contra Costa,Tap	Tap in rm P1,2017-12-21,5,UG/L,No,NA,NA
10444,CA3410004,CARMICHAEL WATER DISTRICT,SACRAMENTO,3410004-AAB-D,San Juan Unified,Del Campo High,4925 Dewey Dr Fair Oaks CA 95628-4402,Sacramento,Gym 1,2017-10-13,5,UG/L,No,NA,NA
13217,CA3710006,ESCONDIDO CITY OF,SAN DIEGO,3710006-ABE-E,Escondido Union,Del Dios Academy of Arts and Sciences,1400 West Ninth Avenue Escondido CA 92025-2204,San Diego,PE Drinking Fountain,2017-05-31,5,UG/L,No,NA,NA
3986,CA1010007,CITY OF FRESNO,FRESNO,1010007-AHG-D,Fresno Unified,Del Mar Elementary,4122 North Del Mar Avenue Fresno CA 93704-4410,Fresno, Staff Room 9 Sink-Cold		,2018-06-28,76,UG/L,No,NA,NA
14938,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-CBI-E,Del Mar Union Elementary,Del Mar Heights Elementary,13555 Boquita Drive Del Mar CA 92014-3453,San Diego,A Building Classroom A-1 bubbler at sink,2017-06-01,5,UG/L,No,NA,NA
17513,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-ABH-E,Campbell Union High,Del Mar High,1224 Del Mar Avenue San Jose CA 95128-3529,Santa Clara,Gym lobby to the right when entering gym lobby doors left fountain,2017-05-17,5,UG/L,No,NA,NA
14943,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-CBJ-E,Del Mar Union Elementary,Del Mar Hills Elementary,14085 Mango Drive Del Mar CA 92014-0640,San Diego,Main bldg Room 18 bubbler at sink,2017-06-01,5,UG/L,No,NA,NA
9567,CA3110025,PLACER CWA - FOOTHILL,PLACER,3110025-ACD-E,Placer Union High,Del Oro High,3301 Taylor Road Loomis CA 95650-9502,Placer,400 Building Fountain,2018-01-30,5,UG/L,No,NA,NA
11035,CA3410020,CITY OF SACRAMENTO MAIN,SACRAMENTO,3410020-ABE-E,Twin Rivers Unified,Del Paso Heights Elementary,590 Morey Avenue Sacramento CA 95838-3332,Sacramento,Kitchen sink next to the stove,2017-05-03,5,UG/L,No,NA,NA
10545,CA3410007,DEL PASO MANOR COUNTY WATER DI,SACRAMENTO,3410007-AAC-E,San Juan Unified,Del Paso Manor Elementary,2700 Maryal Drive Sacramento CA 95821-6621,Sacramento,Drinking fountain near room 9,2017-12-20,5,UG/L,No,NA,NA
12655,CA3610052,VICTORVILLE WATER DISTRICT,SAN BERNARDINO,3610052-ACB-E,Victor Elementary,Del Rey Elementary,15332 Del Rey Drive Victorville CA 92395-7118,San Bernardino,Lunch Area Drinking Fountain,2018-03-09,5,UG/L,No,NA,NA
7316,CA2710004,CAL AM WATER COMPANY - MONTEREY,MONTEREY,2710004-AAB-B,Monterey Peninsula Unified,Del Rey Woods Elementary,1281 Plumas Avenue Seaside CA 93955-6202,Monterey,Most frequently used drinking fountain- outside,2017-02-03,12,UG/L,No,NA,NA
13693,CA3710014,OCEANSIDE CITY OF,SAN DIEGO,3710014-ABJ-E,Oceanside Unified,Del Rio Elementary,5200 North River Road Oceanside CA 92057-3811,San Diego,3710014-DRES-5,2017-04-06,5,UG/L,No,NA,NA
8359,CA3010022,GOLDEN STATE WC - WEST ORANGE,ORANGE,3010022-ACB-E,NA,Del Sol School,5340 Myra Avenue Cypress CA 90630,Orange,Fountain Inside Room 4,2018-08-28,5,UG/L,No,NA,NA
298,CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,0110003-AAC-D,Livermore Valley Joint Unified,Del Valle Continuation High,2253 Fifth Street Livermore CA 94550-4549,Alameda,S4 Sink Faucet kitchen bldg 16,2018-05-30,5,UG/L,No,NA,NA
142,CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,0110001-ACJ-E,New Haven Unified,Delaine Eastin Elementary,34901 Eastin Drive Union City CA 94587-5577,Alameda,Tap located in Room 101 ,2018-05-04,5,UG/L,No,NA,NA
18579,CA4310014,CITY OF SUNNYVALE,SANTA CLARA,4310014-ACB-A,Cupertino Union ,Delor Montessori School,1510 Lewiston Dr Sunnyvale  CA 94087,Santa Clara,Delor Montessori Service Kitchen,2018-05-30,5,UG/L,No,NA,NA
3583,CA0710008,CITY OF PITTSBURG,CONTRA COSTA,0710008-ABG-E,Mt Diablo Unified,Delta View Elementary,2916 Rio Verde Pittsburg CA 94565-7641,Contra Costa,Drinking Water Bubbler C,2018-01-09,5,UG/L,No,NA,NA
8840,CA3010064,CITY OF WESTMINSTER,ORANGE,3010064-AAE-B,Westminster,Demille Elementary,15400 Van Buren Midway City CA 92655-1660,Orange,Room 14 outside fountain,2017-11-20,52,UG/L,No,NA,NA
19373,CA5010005,CITY OF MODESTO SALIDA,STANISLAUS,5010005-AAC-E,Salida Union Elementary,Dena Boer,4801 Gold Valley Road Salida CA 95368-9742,Stanislaus,Room 34 Bubbler,2018-02-22,5,UG/L,No,NA,NA
16007,CA3810011,SFPUC CITY DISTRIBUTION DIVISION,SAN FRANCISCO,3810011-BAJ-E,San Francisco Unified,Denman (James) Middle,241 Oneida Avenue San Francisco CA 94112-3228,San Francisco,Upper drinking fountain between Boys Bathroom and Room 184 on 1st floor of Main Building,2017-12-19,5,UG/L,No,NA,NA
13247,CA3710009,DESCANSO COMMUNITY SERVICES DISTRICT,SAN DIEGO,3710009-AAB-E,Mountain Empire Unified,Descanso Elementary,24842 Viejas Boulevard Descanso CA 91916-9757,San Diego,Inside cafeteria food prep sink,2017-09-26,5,UG/L,No,NA,NA
4306,CA1310004,EL CENTRO CITY OF,IMPERIAL,1310004-AAC-E,El Centro Elementary,Desert Garden Elementary,1900 South Sixth Street El Centro CA 92243-4463,Imperial,Classroom 13 sink,2017-08-23,5,UG/L,No,NA,NA
11871,CA3610003,APPLE VALLEY RANCHOS WC,SAN BERNARDINO,3610003-AAC-E,Apple Valley Unified,Desert Knolls Elementary,18213 Symeron Drive Apple Valley CA 92307-4537,San Bernardino,005-East side of building 505 drinking fountain,2017-04-21,5,UG/L,No,NA,NA
4364,CA1310004,EL CENTRO CITY OF,IMPERIAL,1310004-ABE-C,Central Union High,Desert Oasis High (Continuation),1302 South Third St El Centro CA 92243-6604,Imperial,Building #3 Drinking Fountain,2018-08-22,5,UG/L,No,NA,NA
2155,CA0110005,EAST BAY MUD,ALAMEDA,0110005-CJB-E,Oakland Unified,Dewey Academy,1111 2nd Avenue Oakland CA 94606-2285,Alameda,Bathroom sink in portable 13A,2018-01-19,5,UG/L,No,NA,NA
14857,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-CAB-E,San Diego Unified,Dewey Elementary,3251 Rosecrans Street San Diego CA 92110-4835,San Diego,Front Office/Hallway Wall mounted exterior (South of Bldg) facing Lunch Arbor two single bubbler fountains lower left bubbler,2017-05-24,5,UG/L,No,NA,NA
3914,CA1010007,CITY OF FRESNO,FRESNO,1010007-AGC-C,Fresno Unified,Dewolf Continuation High,2445 W Dakota Fresno CA 93703-2124,Fresno,Bottle Filling Station Girls RR		,2018-06-22,5,UG/L,No,NA,NA
3251,CA0710003,CONTRA COSTA WATER DISTRICT,CONTRA COSTA,0710003-ABB-E,Mt Diablo Unified,Diablo Community Day,1026 Mohr Lane Concord CA 94518-3833,Contra Costa,Upper df by basketball court,2017-12-20,5,UG/L,No,NA,NA
3450,CA0710003,CONTRA COSTA WATER DISTRICT,CONTRA COSTA,0710003-AFA-C,Mt Diablo Unified,Diablo View Middle,300 Diablo View Lane Clayton CA 94517-1600,Contra Costa,Prep sink in kitchenÂ ,2018-01-17,14,UG/L,No,NA,NA
1969,CA0110005,EAST BAY MUD,ALAMEDA,0110005-CFG-E,San Ramon Valley Unified,Diablo Vista Middle,4100 Camino Tassajara Danville CA 94506-4700,Contra Costa,Fountain	Lower df by rm 100,2018-01-09,5,UG/L,No,NA,NA
9391,CA3110008,CITY OF ROSEVILLE,PLACER,3110008-ABB-E,Roseville City Elementary,Diamond Creek Elementary,3151 Hopscotch Way Roseville CA 95747-7163,Placer,5,2017-12-05,5,UG/L,No,NA,NA
5362,CA1910026,COMPTON-CITY WATER DEPT,LOS ANGELES,1910026-AAF-B,Compton Unified,Dickison Elementary,905 North Aranbe Street Compton CA 90220-2023,Los Angeles,kitchen prep sink,2018-05-01,5,UG/L,No,NA,NA
13525,CA3710010,HELIX WATER DISTRICT,SAN DIEGO,3710010-AGJ-B,Julian Union Elementary,Diego Valley Charter,511 North 2nd Street El Cajon CA 92021-6449,San Diego,Staff Lounge Sink,2017-10-13,5,UG/L,No,NA,NA
15323,CA3710029,OLIVENHAIN MWD,SAN DIEGO,3710029-AAC-E,San Dieguito Union High,Diegueno Middle,2150 Village Park Way Encinitas CA 92024-5400,San Diego,Building G drinking fountain outside,2017-05-24,5,UG/L,No,NA,NA
14457,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-BCA-E,San Diego Unified,Dingeman Elementary,11840 Scripps Creek Drive San Diego CA 92131-3701,San Diego,	B-16 inside classroom B-16 back of the room bubbler at sink,2017-04-27,5,UG/L,No,NA,NA
20257,CA5710006,CITY OF WOODLAND,YOLO,5710006-AAC-C,Woodland Joint Unified,Dingle Elementary,625 Elm Street Woodland CA 95695-3921,Yolo,Classroom #2 DF,2018-01-31,63,UG/L,No,NA,NA
18085,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BDF-E,Santa Clara County Office of Education,Discovery Charter,4021 Teale Avenue San Jose CA 95117-3433,Santa Clara,Sample Location 5,2017-12-15,5,UG/L,No,NA,NA
18090,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BDG-E,Santa Clara County Office of Education,Discovery Charter II,762 Sunset Glen Drive San Jose CA 95123,Santa Clara,Sample Location 5,2017-12-15,5,UG/L,No,NA,NA
5013,CA1510055,CWS - NORTH GARDEN,KERN,1510055-AAF-D,Fruitvale Elementary,Discovery Elementary,7500 Vaquero Avenue Bakersfield CA 93308-6431,Kern,S4 DF 200 bldg next to rm 203 upper,2018-04-12,5,UG/L,No,NA,NA
12690,CA3610052,VICTORVILLE WATER DISTRICT,SAN BERNARDINO,3610052-ACI-E,Victor Elementary,Discovery School of the Arts,13247 Amethyst Road Victorville CA 92392,San Bernardino,Playground Drinking Fountain,2018-03-16,5,UG/L,No,NA,NA
13754,CA3710014,OCEANSIDE CITY OF,SAN DIEGO,3710014-ADB-E,Oceanside Unified School District,Ditmar Elementary School,1125 South Ditmar St Oceanside CA 92054,San Diego,5,2017-04-18,5,UG/L,No,NA,NA
6874,CA2110002,MARIN MUNICIPAL WATER DISTRICT,MARIN,2110002-AAD-E,Dixie Elementary,Dixie Elementary,1175 Idylberry Drive San Rafael CA 94903-1131,Marin,D-Wing DF,2017-09-21,5,UG/L,No,NA,NA
5796,CA1910105,PARAMOUNT - CITY WATER DEPT,LOS ANGELES,1910105-AAD-E,Compton Unified,Dominguez High,15301 South San Jose Avenue Compton CA 90221-3131,Los Angeles,East of Gym Outside Drinking Fountain Outside Quad Assembly Area,2018-05-02,53,UG/L,No,NA,NA
5911,CA1910124,PASADENA-CITY WATER DEPT,LOS ANGELES,1910124-ABJ-E,Pasadena Unified,Don Benito Fundamental,3700 Denair Street Pasadena CA 91107-1303,Los Angeles,DBES-5-A,2017-10-05,5,UG/L,No,NA,NA
9050,CA3010073,MOULTON NIGUEL WATER DISTRICT,ORANGE,3010073-ABG-E,Capistrano Unified,Don Juan Avila Elementary,26278 Wood Canyon Drive Aliso Viejo CA 92656-8060,Orange,Across from YMCA P1/P2,2018-05-22,5,UG/L,No,NA,NA
19626,CA5010028,CERES CITY OF,STANISLAUS,5010028-AAJ-C,Ceres Unified,Don Pedro Elementary,2300 Don Pedro Road Ceres CA 95307-4134,Stanislaus,Office - Staff Room Hand Sink ,2018-02-28,5,UG/L,No,NA,NA
7236,CA2410009,CITY OF MERCED,MERCED,2410009-ABF-E,Merced City Elementary,Don Stowell Elementary,251 East 11th Street Merced CA 95340-6228,Merced,SE Classroom K-2,2017-09-14,5,UG/L,No,NA,NA
4909,CA1510031,BAKERSFIELD CITY OF,KERN,1510031-AAJ-D,Lakeside Union,Donald E Suburu,7315 Harris Road Bakersfield CA 93313-9326,Kern,S4 DF MPB eastside next to 601 upper df,2017-11-17,5,UG/L,No,NA,NA
10041,CA3310012,ELSINORE VALLEY MWD,RIVERSIDE,3310012-ABD-Z,Lake Elsinore Unified,Donald Graham Elementary,35450 Frederick Street Wildomar CA 92595-9686,Riverside,DISTRIBUTION SOURCE,2018-04-25,5,UG/L,No,NA,NA
18293,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BJA-F,Alum Rock Union Elementary,Donald J Meyer Elementary,1824 Daytona Drive San Jose CA 95122-1719,Santa Clara,Sample Location 6,2018-03-15,5,UG/L,No,NA,NA
927,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BAE-E,Moraga Elementary,Donald L Rheem Elementary,90 Laird Drive Moraga CA 94556-1407,Contra Costa,Fountain	Right side fixture outside north side of Wing I building ,2017-11-17,5,UG/L,No,NA,NA
8756,CA3010062,CITY OF GARDEN GROVE,ORANGE,3010062-AAD-E,Garden Grove Unified,Donald S Jordan Intermediate,9821 Woodbury Road Garden Grove CA 92844-2835,Orange,Building H Northwest corner,2018-04-19,5,UG/L,No,NA,NA
7177,CA2410009,CITY OF MERCED,MERCED,2410009-AAE-A,Merced City Elementary,Donn B Chenoweth Elementary,3200 Parsons Avenue Merced CA 95340-1624,Merced,South east side of circular classroom bldg,2017-09-22,11,UG/L,No,NA,NA
4234,CA1310002,CALEXICO CITY OF,IMPERIAL,1310002-AAB-B,Calexico Unified,Dool Elementary,800 Encinas Avenue Calexico CA 92231-2559,Imperial,40s Wing Eastside,2018-05-16,17,UG/L,Yes,Contacted system response pending,Pending
12365,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-ABA-E,Fontana Unified,Dorothy Grant Elementary,7069 Isabel Lane Fontana CA 92336-5060,San Bernardino,Building F East Fountain,2018-04-12,5,UG/L,No,NA,NA
9805,CA3310009,EASTERN MUNICIPAL WD,RIVERSIDE,3310009-AEB-E,Murrieta Valley Unified,Dorothy McElhinney Middle,35185 Briggs Rd Murrieta CA 92563-2346,Riverside,DMM #5,2018-05-01,5,UG/L,No,NA,NA
5410,CA1910034,DOWNEY - CITY WATER DEPT,LOS ANGELES,1910034-AAE-C,Downey Unified,Doty Middle,10301 South Woodruff Avenue Downey CA 90241-2944,Los Angeles,Food preparation/ Kitchen Sink,2017-05-05,5,UG/L,No,NA,NA
13078,CA3710002,VALLECITOS WD,SAN DIEGO,3710002-ABE-E,San Marcos Unified School District,Double Peak K8 School,111 San Elijo Road San Marcos CA 92078,San Diego ,Kindergarten DF,2017-03-14,5,UG/L,No,NA,NA
2837,CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,0110009-AAB-E,San Ramon Valley Unified,Dougherty Valley High,10550 Albion Road San Ramon CA 94582-2901,Contra Costa,Main Gym Drinking Fountain,2017-12-07,5,UG/L,No,NA,NA
4745,CA1510014,MOJAVE PUD,KERN,1510014-AAD-C,Mojave Unified,Douglas (East Kern Community School),3200 Pat Avenue Mojave CA 93501-1344,Kern,Kitchen Area (KCSOS SELPA @ 15926 K St),2018-05-01,5,UG/L,No,NA,NA
19697,CA5310001,WEAVERVILLE CSD,TRINITY,5310001-AAD-E,Douglas City Elementary,Douglas City Elementary,100 School Road Douglas City CA 96024-0280,Trinity,Main office ext drinking fountain,2017-03-29,5,UG/L,No,NA,NA
4941,CA1510031,BAKERSFIELD CITY OF,KERN,1510031-ABH-E,Panama-Buena Vista Union,Douglas J Miller Elementary,7345 Mountain Ridge Drive Bakersfield CA 93313-5322,Kern,S5 DF mpb next to kitchen upper df,2017-12-13,5,UG/L,No,NA,NA
20314,CA5710006,CITY OF WOODLAND,YOLO,5710006-ABD-Z,Woodland Joint Unified,Douglass Middle,525 Granada Drive Woodland CA 95695-4861,Yolo,DISTRIBUTION SOURCE,2018-03-14,5,UG/L,No,NA,NA
18641,CA4310020,CITY OF SAN JOSE - EVG/EDV/COY,SANTA CLARA,4310020-AAF-C,Evergreen Elementary,Dove Hill Elementary,1460 Colt Way San Jose CA 95121-1900,Santa Clara,Site 3,2018-01-12,5,UG/L,No,NA,NA
19146,CA4810003,CITY OF FAIRFIELD,SOLANO,4810003-ACA-E,Fairfield-Suisun Unified,Dover Academy,301 East Alaska Avenue Fairfield CA 94533-2222 ,Solano,Faucet in Staff Room,2018-05-03,5,UG/L,No,NA,NA
1009,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BBJ-E,West Contra Costa Unified,Dover Elementary,1871 21st Street San Pablo CA 94806-4400,Contra Costa,Fountain	Stand alone duel drinking fountain outside next to room B133,2017-11-18,5,UG/L,No,NA,NA
5413,CA1910034,DOWNEY - CITY WATER DEPT,LOS ANGELES,1910034-AAF-C,Downey Unified,Downey Adult,12340 Woodruff Avenue Downey CA 90241,Los Angeles,Drinking Fountain/ L-wing by mens restroom,2017-05-05,5,UG/L,No,NA,NA
5416,CA1910034,DOWNEY - CITY WATER DEPT,LOS ANGELES,1910034-AAG-C,Downey Unified,Downey High,11040 Brookshire Avenue Downey CA 90241-3816,Los Angeles,Food preparation/ Kitchen Sink,2017-05-05,5,UG/L,No,NA,NA
18983,CA4610002,DOWNIEVILLE PUBLIC UD,SIERRA,4610002-AAB-B,Sierra-Plumas Joint Unified,Downieville Elementary,130 School Street Downieville CA 95936-0396,Sierra,Elementary 2,2018-06-06,83,UG/L,No,NA,NA
18985,CA4610002,DOWNIEVILLE PUBLIC UD,SIERRA,4610002-AAC-B,Sierra-Plumas Joint Unified,Downieville Junior-Senior High,130 School St Downieville CA 95936,Sierra,Senior 2,2018-06-06,5,UG/L,No,NA,NA
4483,CA1510003,CWS - BAKERSFIELD,KERN,1510003-ACB-C,Bakersfield City,Downtown Elementary,2021 M Street Bakersfield CA 93301-4636,Kern,S3 DF bldg 100 btwn elect panel - rm 9,2017-11-07,5,UG/L,No,NA,NA
15909,CA3810011,SFPUC CITY DISTRIBUTION DIVISION,SAN FRANCISCO,3810011-AIH-A,San Francisco Unified,Downtown High,693 Vermont Street San Francisco CA 94107-2635,San Francisco,Lower drinking fountain of fountain-water bottle filling station unit across from Room 17 on 1st floor of Main Building,2017-12-12,36,UG/L,Yes,Fixture removed from service,Complete
14672,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-BGD-E,San Diego Unified,Doyle Elementary,3950 Berino Court San Diego CA 92122-1601,San Diego,CafÃ© Building (Kitchen) south side of Auditorium faucet above two-compartment sink,2017-05-09,5,UG/L,No,NA,NA
7855,CA3010001,CITY OF ANAHEIM,ORANGE,3010001-AAH-E,Magnolia Elementary,Dr Albert Schweitzer,229 South Dale Avenue Anaheim CA 92804-2006,Orange,Kindergarten Rm 2 Outside Fountain ,2017-05-18,5,UG/L,No,NA,NA
6713,CA1910212,GSWC-SOUTH ARCADIA,LOS ANGELES,1910212-AAC-B,Temple City Unified,Dr Doug Sears Learning Center,9229 Pentland Street Temple City CA 91780-3736,Los Angeles,Sink faucent in admin building,2018-04-26,58,UG/L,No,NA,NA
4488,CA1510003,CWS - BAKERSFIELD,KERN,1510003-ACC-E,Bakersfield City,Dr Douglas K Fletcher Elementary,9801 Highland Knolls Drive Bakersfield CA 93306-2836,Kern,S5 DF admin bldg next to staff breakroom upper df,2017-11-02,5,UG/L,No,NA,NA
4493,CA1510003,CWS - BAKERSFIELD,KERN,1510003-ACD-E,Bakersfield City,Dr Juliet Thorner Elementary,5501 Thorner Street Bakersfield CA 93306-7300,Kern,S5 DF bldg B between rms 6 & 7 right side lower df,2017-11-02,5,UG/L,No,NA,NA
7840,CA3010001,CITY OF ANAHEIM,ORANGE,3010001-AAE-E,Magnolia Elementary,Dr Peter Marshall,2627 Crescent Avenue Anaheim CA 92801-4902,Orange,Rm 11A Outside Fountain (In front of #17 Ground Marker on Playground),2017-05-18,53,UG/L,No,NA,NA
15588,CA3810011,SFPUC CITY DISTRIBUTION DIVISION,SAN FRANCISCO,3810011-ABJ-E,San Francisco Unified,Drew (Charles) College Preparatory Academy,50 Pomona Avenue San Francisco CA 94124-2344,San Francisco,Drinking fountain at faucet-fountain unit in Room 208 on 2nd floor Pod South,2017-10-04,5,UG/L,No,NA,NA
10941,CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,SACRAMENTO,3410018-AAB-E,Twin Rivers Unified,Dry Creek Elementary,1230 G Street Rio Linda CA 95673-4414,Sacramento,Building B Kitchen Prep Sink,2017-05-16,5,UG/L,No,NA,NA
7559,CA2710017,MARINA COAST WATER DISTRICT,MONTEREY,2710017-AAC-A,Monterey Peninsula Unified,Dual Language Academy of the Monterey Peninsula,225 Normandy Road Seaside CA 93955-6396,Monterey,Drinking Fountain outside Room CR21,2017-05-11,6,UG/L,No,NA,NA
3055,CA0410003,DURHAM IRRIGATION DISTRICT,BUTTE,0410003-AAB-C,Durham Unified,Durham Elementary,9421 Putney Drive Durham CA 95938-9426,Butte,Multi Purpose Room wall fountain,2018-08-14,5,UG/L,No,NA,NA
3062,CA0410003,DURHAM IRRIGATION DISTRICT,BUTTE,0410003-AAD-D,Durham Unified,Durham High,9455 Putney Drive Durham CA 95938-9426,Butte,Concession Stand wall fountain,2018-08-14,5,UG/L,No,NA,NA
3058,CA0410003,DURHAM IRRIGATION DISTRICT,BUTTE,0410003-AAC-C,Durham Unified,Durham Intermediate,9416 Putney Drive Durham CA 95938-9426,Butte,Gym wall fountain,2018-08-14,5,UG/L,No,NA,NA
17351,CA4310009,CITY OF PALO ALTO,SANTA CLARA,4310009-AAC-E,Palo Alto Unified,Duveneck Elementary,705 Alester Avenue Palo Alto CA 94303-2859,Santa Clara,Drinking Fountain Rm 23 (AAC_E),2018-09-05,5,UG/L,No,NA,NA
18477,CA4310012,CITY OF SANTA CLARA,SANTA CLARA,4310012-AAB-A,Cupertino Union,Dwight D Eisenhower Elementary,277 Rodonovan Drive Santa Clara CA 95051-6656,Santa Clara,Sample Site No 1,2018-05-23,54,UG/L,No,NA,NA
13648,CA3710014,OCEANSIDE CITY OF,SAN DIEGO,3710014-ABA-E,Oceanside Unified,E G Garrison Elementary,333 Garrison Drive Oceanside CA 92054-4733,San Diego,3710014-GES-5,2017-04-05,5,UG/L,No,NA,NA
10244,CA3310038,RANCHO CALIFORNIA WATER DISTRICT,RIVERSIDE,3310038-ABI-A,Murrieta Valley Unified,E Hale Curran Elementary,40855 Chaco Canyon Road Murrieta CA 92562-1903,Riverside,Kitchen sink faucet,2018-05-09,93,UG/L,No,NA,NA
47,CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,0110001-AAJ-E,Newark Unified,E L Musick Elementary,5735 Musick Avenue Newark CA 94560-2554,Alameda,Left water fountain: in between restroom across from playground,2017-05-24,5,UG/L,No,NA,NA
237,CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,0110001-AFB-E,Fremont Unified,E M Grimmer Elementary,43030 Newport Drive Fremont CA 94538-6113,Alameda,Fountain on sink in room 28,2018-05-18,5,UG/L,No,NA,NA
19095,CA4810003,CITY OF FAIRFIELD,SOLANO,4810003-AAJ-E,Fairfield-Suisun Unified,E Ruth Sheldon Academy of Innovative Learning,1901 Woolner Avenue Fairfield CA 94533-5809,Solano,Faucet in Kitchen,2018-03-15,5,UG/L,No,NA,NA
12167,CA3610036,CHINO HILLS CITY OF,SAN BERNARDINO,3610036-AAH-Z,Chino Valley Unified,Eagle Canyon Elementary,13435 Eagle Canyon Drive Chino Hills CA 91709-1281,San Bernardino,Distribution Source,2018-09-06,5,UG/L,No,NA,NA
3412,CA0710003,CONTRA COSTA WATER DISTRICT,CONTRA COSTA,0710003-AEB-E,Mt Diablo Unified,Eagle Peak Montessori,800 Hutchinson Road Walnut Creek CA 94598-4505,Contra Costa,Df located in rm 202,2018-01-17,5,UG/L,No,NA,NA
6679,CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,LOS ANGELES,1910211-AAH-C,Norwalk-La Mirada Unified,Earl E Edmondson Elementary,15121 South Grayland Avenue Norwalk CA 90650-6627,Los Angeles,Building #20 Girl Restroom Drinking Fountain,2018-03-27,5,UG/L,No,NA,NA
5050,CA1610003,HANFORD CITY OF,KINGS,1610003-AAD-F,Hanford Joint Union High,Earl F Johnson High (Continuation),1201 North Douty Hanford CA 93230-2156,Kings,Distribution Source 2,2018-07-11,89,UG/L,Yes,Contacted system response pending,Pending
10600,CA3410009,FAIR OAKS WATER DISTRICT,SACRAMENTO,3410009-AAD-E,San Juan Unified,Earl Legette Elementary,4623 Kenneth Avenue Fair Oaks CA 95628-6242,Sacramento,Kindergarden,2017-09-12,5,UG/L,No,NA,NA
10095,CA3310012,ELSINORE VALLEY MWD,RIVERSIDE,3310012-ACC-Z,Lake Elsinore Unified,Earl Warren Elementary,41221 Rosetta Canyon Road Lake Elsinore CA 92532-1648,Riverside,DISTRIBUTION SOURCE,2018-05-09,65,UG/L,No,NA,NA
4969,CA1510031,BAKERSFIELD CITY OF,KERN,1510031-ACE-D,Panama-Buena Vista Union,Earl Warren Junior High,4615 Mountain Vista Drive Bakersfield CA 93311-3016,Kern,S4 DF admin bldg across from vice principal,2017-12-13,5,UG/L,No,NA,NA
7725,CA2910004,NEVADA ID - E GEORGE BANNER MOUNTAIN,NEVADA,2910004-AAC-C,Nevada City School District,Earle Jamieson Educational Options,112 Nevada City Highway Nevada City CA 95959,Nevada,Sink Faucet in the Breakroom on the Northeast end of the main building,2018-04-11,5,UG/L,No,NA,NA
12951,CA3710001,CAL-AM WATER CORONADO,SAN DIEGO,3710001-AAF-E,Coronado Unified School District ,Early Childhood Development Center (ECDC),199 6th St Coronado CA 92118,San Diego,Playground Fountain Outside Bldg B,2017-05-24,5,UG/L,No,NA,NA
18582,CA4310014,CITY OF SUNNYVALE,SANTA CLARA,4310014-ACC-C,Cupertino Union,Early Horizons Preschool,1510 Lewiston Drive Sunnyvale CA 94087,Santa Clara,Early Horizons Outside Kindergarten Playground,2018-05-30,5,UG/L,No,NA,NA
2339,CA0110005,EAST BAY MUD,ALAMEDA,0110005-DCJ-E,Hayward Unified,East Avenue Elementary,2424 East Avenue Hayward CA 94541-5634,Alameda,Lower Df located across from Rm 131 (Staff Lounge) ,2018-02-14,5,UG/L,No,NA,NA
308,CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,0110003-AAE-E,Livermore Valley Joint Unified,East Avenue Middle,3951 East Avenue Livermore CA 94550-4830,Alameda,S5 DF mpb,2018-05-30,5,UG/L,No,NA,NA
4430,CA1510003,CWS - BAKERSFIELD,KERN,1510003-AAH-E,Kern High,East Bakersfield High,2200 Quincy Street Bakersfield CA 93306-4036,Kern,S5: Rm 316 drinking fountain,2017-05-23,5,UG/L,No,NA,NA
